input_format,epoch,training_time_seconds,samples_per_second,validation_accuracy,validation_loss,train_samples,validation_samples,batch_size,seed
jpeg,0,9.446825918000002,310.6863644441298,0.3918367326259613,1.4159395694732666,2935,735,32,42
jpeg,1,8.674727749999988,338.33914845339143,0.43129250407218933,1.2862194776535034,2935,735,32,42
jpeg,2,7.9260435529999995,370.2982427959414,0.47074830532073975,1.2551243305206299,2935,735,32,42
tfrecord,0,7.957382862999964,368.83986236820255,0.38367345929145813,1.43302321434021,2935,735,32,42
tfrecord,1,7.429492907999986,395.0471501008673,0.41632652282714844,1.2926878929138184,2935,735,32,42
tfrecord,2,10.233133504999955,286.813418252185,0.45578232407569885,1.2767587900161743,2935,735,32,42
